Titik Awal,Koordinat Awal,Tujuan,Koordinat Tujuan,Jarak Tempuh (km),Waktu Tempuh (menit),Kapasitas Full Tanki Bensin (liter),Jarak Tempuh Bensin per Liter (km/l),Rekomendasi_SPBU,Rekomendasi_TempatIstirahat,Rekomendasi_Penginapan
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Sam Poo Kong,"(-6.992966, 110.389888)",242.578757746755,297,4,45.53901144701786,ya,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Kediri Mall,"(-7.82424, 112.011388)",492.85906731367015,657,9,44.511378310012205,ya,ya,ya
Kota Tua,"(-6.1352, 106.813301)",Stasiun Cirebon,"(-6.710515, 108.561267)",203.46266993734417,217,4,40.34368699109476,ya,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Farm House,"(-6.832553, 107.605373)",108.30937888245214,135,14,33.16034040590754,tidak,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Kraton,"(-7.805691, 110.364914)",319.05965893949354,375,4,46.38942313631475,ya,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Stasiun Cirebon,"(-6.710515, 108.561267)",204.3093087595754,250,8,38.89609776136392,tidak,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Trans Studio,"(-6.926855, 107.634515)",306.31210062072086,367,8,32.201187517154146,ya,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Stasiun Cirebon,"(-6.710515, 108.561267)",189.5560626929701,196,4,33.69937686796396,ya,ya,tidak
Gunung Galunggung,"(-7.241253, 108.082577)",Monas,"(-6.175392, 106.827153)",182.39339563522503,254,8,44.09387706195108,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Coban Rondo,"(-7.895497, 112.533402)",454.62297145710966,649,8,40.1892688351915,ya,ya,ya
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Monas,"(-6.175392, 106.827153)",601.8039263801215,681,9,45.17676386192569,ya,ya,ya
Farm House,"(-6.832553, 107.605373)",Simpang Lima,"(-6.9925, 110.420601)",311.2715676731894,352,11,40.618207095626026,tidak,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Kediri Mall,"(-7.82424, 112.011388)",492.85906731367015,591,13,41.837822604343,ya,ya,tidak
Kraton,"(-7.805691, 110.364914)",Tugu Pahlawan,"(-7.245971, 112.737826)",268.88370081747235,350,15,38.03660546734497,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Pantai Kejawanan,"(-6.73358, 108.581212)",0.0,0,15,49.88812124896583,tidak,tidak,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Malioboro,"(-7.79558, 110.36949)",268.1375021907891,392,15,41.41445554953123,tidak,ya,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Keraton Kasepuhan,"(-6.724108, 108.555726)",0.0,0,7,40.95151049684654,tidak,tidak,tidak
Banten Lama,"(-6.034228, 106.128827)",Lawang Sewu,"(-6.983784, 110.40908)",484.5121428858853,593,7,41.902207336630674,ya,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Jatim Park,"(-7.887634, 112.53475)",79.09066598995003,115,6,45.62299905832174,tidak,ya,tidak
Taman Mini,"(-6.30242, 106.895382)",Gedung Sate,"(-6.902475, 107.618782)",104.09949292738544,107,10,38.08335447996193,tidak,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Simpang Lima Gumul,"(-7.815934, 112.011961)",492.7393404783204,687,10,35.62735253713715,ya,ya,ya
Tugu Pahlawan,"(-7.245971, 112.737826)",Lawang Sewu,"(-6.983784, 110.40908)",258.5989366865975,378,6,47.23069782771808,ya,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Ciputra Waterpark,"(-7.288911, 112.609064)",243.6971747541014,252,11,48.13942830848968,tidak,ya,tidak
Pantai Kejawanan,"(-6.73358, 108.581212)",Simpang Lima Gumul,"(-7.815934, 112.011961)",397.082436707808,476,7,37.85767925003122,ya,ya,tidak
Banten Lama,"(-6.034228, 106.128827)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",271.78519466731825,354,13,47.696868968672696,tidak,ya,tidak
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Kota Tua,"(-6.1352, 106.813301)",203.9760224505492,260,4,49.523737463451305,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Malioboro,"(-7.79558, 110.36949)",249.825240247832,348,6,32.32206805511415,ya,ya,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Kota Tua,"(-6.1352, 106.813301)",203.46266993734417,234,4,40.32866742943416,ya,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Banten Lama,"(-6.034228, 106.128827)",193.71390775862088,252,5,45.10047156718762,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Simpang Lima,"(-6.9925, 110.420601)",267.13511790923155,341,5,32.194353045627714,ya,ya,tidak
Coban Rondo,"(-7.895497, 112.533402)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",479.8868651217547,488,8,39.55493495562727,ya,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",203.9760224505492,284,10,35.75517290965211,tidak,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",674.7448725329929,1012,13,33.87314494065868,ya,ya,ya
Gedung Sate,"(-6.902475, 107.618782)",Kenjeran Park,"(-7.22302, 112.790361)",571.7981672242685,745,13,35.75506883226802,ya,ya,ya
Sam Poo Kong,"(-6.992966, 110.389888)",Gedung Sate,"(-6.902475, 107.618782)",306.03528107695115,427,15,31.48655981953797,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Malioboro,"(-7.79558, 110.36949)",249.825240247832,249,4,46.54654240517472,ya,ya,tidak
Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",Kota Tua,"(-6.1352, 106.813301)",203.9760224505492,254,10,42.115995015063575,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Alun-Alun Malang,"(-7.978639, 112.630141)",670.9756894470422,958,5,42.040209051015125,ya,ya,ya
Masjid Agung Serang,"(-6.117978, 106.153106)",Monas,"(-6.175392, 106.827153)",74.79267646078021,97,8,45.87533426843386,tidak,ya,tidak
Monas,"(-6.175392, 106.827153)",Simpang Lima Gumul,"(-7.815934, 112.011961)",600.5832011708559,692,14,30.615477529515584,ya,ya,ya
Jatim Park,"(-7.887634, 112.53475)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",479.92425124848177,599,14,45.83839251446845,tidak,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Pantai Kejawanan,"(-6.73358, 108.581212)",467.7428360862109,467,13,35.77016998012327,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Farm House,"(-6.832553, 107.605373)",498.2711208225838,729,13,48.87447527110403,ya,ya,ya
Situ Gede,"(-7.323856, 108.22867)",Trans Studio,"(-6.926855, 107.634515)",79.03424231151884,87,11,44.06490415391698,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Sam Poo Kong,"(-6.992966, 110.389888)",256.5596423926739,334,13,40.97219627484596,tidak,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Monas,"(-6.175392, 106.827153)",668.7614195824717,978,5,35.603613675369004,ya,ya,ya
Taman Sari,"(-7.811356, 110.359499)",Kenjeran Park,"(-7.22302, 112.790361)",275.84473326015984,367,7,42.5501381410862,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Kenjeran Park,"(-7.22302, 112.790361)",79.09066598995003,100,6,34.3631872609759,tidak,ya,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Keraton Kasepuhan,"(-6.724108, 108.555726)",274.1852592435862,288,10,32.349860835651185,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Taman Mini,"(-6.30242, 106.895382)",646.7274929671537,825,7,32.04463292444765,ya,ya,ya
Trans Studio,"(-6.926855, 107.634515)",Tugu Pahlawan,"(-7.245971, 112.737826)",564.2408460781229,564,7,42.54569384391258,ya,ya,tidak
Simpang Lima Gumul,"(-7.815934, 112.011961)",Coban Rondo,"(-7.895497, 112.533402)",58.11480215919786,61,8,34.920938177115964,tidak,tidak,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",76.78682008935748,115,4,31.174170056532432,tidak,ya,tidak
Banten Lama,"(-6.034228, 106.128827)",Monas,"(-6.175392, 106.827153)",78.78934085415663,85,11,35.52627613101895,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Farm House,"(-6.832553, 107.605373)",556.1107048347578,575,4,41.79216413349339,ya,ya,tidak
Farm House,"(-6.832553, 107.605373)",Gedung Sate,"(-6.902475, 107.618782)",7.914639419047258,11,8,49.86993650251174,tidak,tidak,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",498.6952441614354,623,15,38.76552949044404,ya,ya,ya
Trans Studio,"(-6.926855, 107.634515)",Trans Studio,"(-6.926855, 107.634515)",0.0,0,13,37.06557122874422,tidak,tidak,tidak
Keraton Kasepuhan,"(-6.724108, 108.555726)",Simpang Lima Gumul,"(-7.815934, 112.011961)",400.0842370396125,413,10,42.07700304069829,ya,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Lawang Sewu,"(-6.983784, 110.40908)",0.0,0,13,33.83088318174781,tidak,tidak,tidak
Malioboro,"(-7.79558, 110.36949)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",242.89026491718897,364,13,46.047529921412526,tidak,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Ciputra Waterpark,"(-7.288911, 112.609064)",21.297789136824377,27,11,49.143687197272925,tidak,tidak,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Taman Sari,"(-7.811356, 110.359499)",91.06249024059494,103,6,36.82239955146065,tidak,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Kediri Mall,"(-7.82424, 112.011388)",0.0,0,10,39.51030227092324,tidak,tidak,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Jatim Park,"(-7.887634, 112.53475)",14.586476329054548,19,8,48.9527825776444,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Coban Rondo,"(-7.895497, 112.533402)",0.8868422382949211,1,9,35.85278940142884,tidak,tidak,tidak
Kraton,"(-7.805691, 110.364914)",Jatim Park,"(-7.887634, 112.53475)",239.18901962190165,287,8,41.6207266728006,tidak,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Ciputra Waterpark,"(-7.288911, 112.609064)",550.3644812372681,717,5,31.941738624912983,ya,ya,ya
Farm House,"(-6.832553, 107.605373)",Gunung Galunggung,"(-7.241253, 108.082577)",69.56045474964569,94,14,44.03462076386912,tidak,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Situ Gede,"(-7.323856, 108.22867)",503.27799998689056,569,11,33.4409814622409,ya,ya,tidak
Jatim Park,"(-7.887634, 112.53475)",Simpang Lima,"(-6.9925, 110.420601)",253.462109277322,281,8,30.68497702222501,ya,ya,tidak
Kraton,"(-7.805691, 110.364914)",Simpang Lima Gumul,"(-7.815934, 112.011961)",181.4475649201811,184,7,39.409500466108426,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Jatim Park,"(-7.887634, 112.53475)",556.1107048347578,667,14,32.68439511061607,ya,ya,ya
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Coban Rondo,"(-7.895497, 112.533402)",57.74113297594348,75,7,32.087656733616654,tidak,tidak,tidak
Monas,"(-6.175392, 106.827153)",Ciputra Waterpark,"(-7.288911, 112.609064)",650.3671154073774,696,11,48.31335273609901,ya,ya,ya
Jatim Park,"(-7.887634, 112.53475)",Gedung Sate,"(-6.902475, 107.618782)",553.0320797363705,582,9,35.55936705320405,ya,ya,tidak
Lawang Sewu,"(-6.983784, 110.40908)",Masjid Agung Serang,"(-6.117978, 106.153106)",479.9026709368276,553,14,48.54188847944194,tidak,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Stasiun Cirebon,"(-6.710515, 108.561267)",207.6526594115407,239,14,30.726002947260604,tidak,ya,tidak
Malioboro,"(-7.79558, 110.36949)",Jatim Park,"(-7.887634, 112.53475)",238.733778185604,349,12,36.029639054011,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Gedung Sate,"(-6.902475, 107.618782)",566.164668640769,575,15,33.296388258668784,ya,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Malioboro,"(-7.79558, 110.36949)",89.47609930103417,101,7,33.7392856475412,tidak,ya,tidak
Farm House,"(-6.832553, 107.605373)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",87.0930323307779,116,4,40.19763772029725,tidak,ya,tidak
Kraton,"(-7.805691, 110.364914)",Jatim Park,"(-7.887634, 112.53475)",239.18901962190165,287,15,31.445250344688333,tidak,ya,tidak
Kenjeran Park,"(-7.22302, 112.790361)",Simpang Lima Gumul,"(-7.815934, 112.011961)",108.21223597982454,122,12,39.63145998916596,tidak,ya,tidak
Coban Rondo,"(-7.895497, 112.533402)",Tugu Pahlawan,"(-7.245971, 112.737826)",75.65728897914536,98,12,46.55048985902489,tidak,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Pantai Kejawanan,"(-6.73358, 108.581212)",206.364229955079,301,12,38.14680438406717,tidak,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Keraton Kasepuhan,"(-6.724108, 108.555726)",470.4756451421847,470,8,43.00372874394176,ya,ya,tidak
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Alun-Alun Serang,"(-6.11907, 106.150194)",675.0173314973515,686,6,35.4910538561871,ya,ya,ya
Kota Tua,"(-6.1352, 106.813301)",Malioboro,"(-7.79558, 110.36949)",433.7512746887793,473,6,38.097560691382526,ya,ya,tidak
Masjid Agung Serang,"(-6.117978, 106.153106)",Alun-Alun Serang,"(-6.11907, 106.150194)",0.3440916909629133,0,4,31.03485077167233,tidak,tidak,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Lawang Sewu,"(-6.983784, 110.40908)",206.2522536739915,287,6,42.70195252493572,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Gunung Galunggung,"(-7.241253, 108.082577)",437.9149957503686,453,14,33.02194264805092,ya,ya,tidak
Monas,"(-6.175392, 106.827153)",Taman Mini,"(-6.30242, 106.895382)",16.012196390435935,20,13,39.88112564432987,tidak,tidak,tidak
Coban Rondo,"(-7.895497, 112.533402)",Simpang Lima,"(-6.9925, 110.420601)",253.6682771183929,298,11,43.51225399731968,tidak,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Sam Poo Kong,"(-6.992966, 110.389888)",201.27548072683112,280,6,49.351686652585165,tidak,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",604.6793250423331,725,12,34.4108305728702,ya,ya,ya
Situ Gede,"(-7.323856, 108.22867)",Gunung Galunggung,"(-7.241253, 108.082577)",18.54771980677903,22,11,46.94430570645689,tidak,tidak,tidak
Gua Maria Pohsarang,"(-7.856367, 112.010669)",Trans Studio,"(-6.926855, 107.634515)",493.49967821132486,493,9,33.784596916611896,ya,ya,tidak
Kota Tua,"(-6.1352, 106.813301)",Gua Maria Pohsarang,"(-7.856367, 112.010669)",604.6793250423331,884,4,30.838790164461,ya,ya,ya
Simpang Lima,"(-6.9925, 110.420601)",Farm House,"(-6.832553, 107.605373)",311.2715676731894,389,4,47.63017540782463,ya,ya,tidak
Kraton,"(-7.805691, 110.364914)",Jatim Park,"(-7.887634, 112.53475)",239.18901962190165,305,6,48.07285598410142,ya,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Tugu Pahlawan,"(-7.245971, 112.737826)",564.2408460781229,752,11,39.52058234669343,ya,ya,ya
Stasiun Cirebon,"(-6.710515, 108.561267)",Kenjeran Park,"(-7.22302, 112.790361)",470.2444716337109,503,5,39.066387735059,ya,ya,tidak
Alun-Alun Malang,"(-7.978639, 112.630141)",Kenjeran Park,"(-7.22302, 112.790361)",85.85667090103917,87,6,33.95053269169923,tidak,tidak,tidak
Alun-Alun Serang,"(-6.11907, 106.150194)",Lawang Sewu,"(-6.983784, 110.40908)",480.19299384595297,488,13,34.042767335212744,ya,ya,tidak
Kediri Mall,"(-7.82424, 112.011388)",Simpang Lima Gumul,"(-7.815934, 112.011961)",0.9257395807258548,0,12,46.34073045967118,tidak,tidak,tidak
Jatim Park,"(-7.887634, 112.53475)",Coban Rondo,"(-7.895497, 112.533402)",0.8868422382949211,0,13,45.35858280169849,tidak,tidak,tidak
Situ Gede,"(-7.323856, 108.22867)",Kediri Mall,"(-7.82424, 112.011388)",420.6426989379966,435,10,40.72267970952163,ya,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Monas,"(-6.175392, 106.827153)",403.9047710969506,526,14,38.98259877377209,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Taman Sari,"(-7.811356, 110.359499)",269.60895547353385,385,11,33.26655467042622,tidak,ya,tidak
Trans Studio,"(-6.926855, 107.634515)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",78.2080718150794,92,7,31.302897018369173,tidak,ya,tidak
Gedung Sate,"(-6.902475, 107.618782)",Gunung Galunggung,"(-7.241253, 108.082577)",63.54819657353483,71,10,45.52010031420051,tidak,tidak,tidak
Taman Mini,"(-6.30242, 106.895382)",Stasiun Cirebon,"(-6.710515, 108.561267)",189.5560626929701,264,7,37.52464551585633,tidak,ya,tidak
Stasiun Cirebon,"(-6.710515, 108.561267)",Kediri Mall,"(-7.82424, 112.011388)",400.1904510021181,500,8,47.22265694306927,ya,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Trans Studio,"(-6.926855, 107.634515)",307.6020875747889,369,9,33.640305530680955,ya,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Tugu Pahlawan,"(-7.245971, 112.737826)",257.2254785603471,257,10,42.82780185606444,tidak,ya,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Sam Poo Kong,"(-6.992966, 110.389888)",0.0,0,14,39.13096909533932,tidak,tidak,tidak
Sam Poo Kong,"(-6.992966, 110.389888)",Alun-Alun Tasikmalaya,"(-7.327403, 108.217163)",242.578757746755,330,14,33.6226185047796,tidak,ya,tidak
Tugu Pahlawan,"(-7.245971, 112.737826)",Gunung Galunggung,"(-7.241253, 108.082577)",513.5068135244303,716,8,46.61537343388022,ya,ya,ya
Kediri Mall,"(-7.82424, 112.011388)",Malioboro,"(-7.79558, 110.36949)",180.90522168070044,208,10,35.198276478500915,tidak,ya,tidak
Simpang Lima,"(-6.9925, 110.420601)",Lawang Sewu,"(-6.983784, 110.40908)",1.5988011705408829,1,6,44.82707174222478,tidak,tidak,tidak
Kota Tua,"(-6.1352, 106.813301)",Alun-Alun Malang,"(-7.978639, 112.630141)",673.8060184997012,860,11,48.07247561028296,ya,ya,ya
